stdg_Cd,bjd_Nm,bould_Exist_Area,cobbles_Exist_Area,etc_Area,gravels_Exist_Area,gravels_None_Area,pebble_Exist_Area,rock_Exist_Area,rock_Many_Area,stone_Exist_Area,stonebould_Exist_Area
4679042033,전라남도 화순군 동면 운농리,0,0,12,307,108,0,252,0,0,0
4679042034,전라남도 화순군 동면 옥호리,0,0,2,358,36,0,0,0,0,0
4680000000,전라남도 장흥군,66,506,1906,26101,13184,0,14620,5169,0,0
4679038025,전라남도 화순군 이서면 창랑리,0,0,87,102,23,0,43,0,0,0
4679038026,전라남도 화순군 이서면 도석리,0,0,71,86,6,0,147,0,0,0
4679038027,전라남도 화순군 이서면 야사리,0,0,12,75,87,0,455,0,0,0
4679038029,전라남도 화순군 이서면 인계리,6,0,1,123,67,0,252,0,0,0
4679038030,전라남도 화순군 이서면 영평리,25,0,4,128,78,0,482,0,0,0
4790031046,경상북도 예천군 용문면 죽림리,0,0,4,42,118,10,17,0,0,0
4785031036,경상북도 칠곡군 지천면 신리,0,0,13,87,260,3,12,0,0,0
4785031037,경상북도 칠곡군 지천면 송정리,0,0,10,174,466,6,67,0,0,0
4785031038,경상북도 칠곡군 지천면 금호리,0,0,43,125,429,18,80,0,11,0
4785031040,경상북도 칠곡군 지천면 달서리,0,0,15,82,390,2,32,0,48,0
4785031041,경상북도 칠곡군 지천면 백운리,0,0,1,122,240,0,134,0,113,0
4785036033,경상북도 칠곡군 약목면 무림리,0,0,5,76,371,7,2,0,0,0
4785036034,경상북도 칠곡군 약목면 관호리,0,0,65,136,285,17,76,0,2,0
4711325047,경상북도 포항시북구 흥해읍 학천리,0,0,9,182,370,0,22,0,0,0
4711325049,경상북도 포항시북구 흥해읍 이인리,0,5,15,32,572,0,0,0,0,0
4711331000,경상북도 포항시북구 신광면,0,0,248,3019,3371,77,1192,70,22,0
4783034034,경상북도 고령군 다산면 상곡리,0,0,0,100,25,0,4,0,0,0
4783034035,경상북도 고령군 다산면 좌학리,0,0,17,94,146,0,7,0,0,0
4784036037,경상북도 성주군 대가면 대천리,0,0,12,145,119,8,1,0,0,0
4784037000,경상북도 성주군 벽진면,80,5,148,3356,1927,17,658,1,47,0
4782037051,경상북도 청도군 매전면 내리,4,0,4,244,38,0,319,34,21,0
