stdg_Cd,bjd_Nm,soil_Crop_Cd,soil_Crop_Nm,high_Suit_Area,suit_Area,poss_Area,low_Suit_Area,etc_Area
4719012100,경상북도 구미시 황상동,CR005,사과,21,14,15,404,5
4719012200,경상북도 구미시 인의동,CR005,사과,22,4,58,222,4
4719012300,경상북도 구미시 진평동,CR005,사과,58,37,80,141,61
4719012400,경상북도 구미시 시미동,CR005,사과,14,36,57,93,0
4719012500,경상북도 구미시 임수동,CR005,사과,44,11,53,159,50
4719012600,경상북도 구미시 양호동,CR005,사과,90,45,80,128,99
4719012700,경상북도 구미시 거의동,CR005,사과,60,9,50,234,11
4719012800,경상북도 구미시 옥계동,CR005,사과,52,4,37,260,17
4719012900,경상북도 구미시 구포동,CR005,사과,68,34,97,293,18
4719013000,경상북도 구미시 금전동,CR005,사과,83,11,47,405,21
4719025000,경상북도 구미시 선산읍,CR005,사과,1172,395,909,3407,821
4719025021,경상북도 구미시 선산읍 완전리,CR005,사과,15,10,17,42,4
4719025022,경상북도 구미시 선산읍 동부리,CR005,사과,26,8,68,40,26
4719025023,경상북도 구미시 선산읍 노상리,CR005,사과,50,4,11,346,0
4719025024,경상북도 구미시 선산읍 이문리,CR005,사과,37,23,104,87,10
4719025025,경상북도 구미시 선산읍 죽장리,CR005,사과,42,52,91,304,13
4719025026,경상북도 구미시 선산읍 내고리,CR005,사과,42,9,67,215,21
4719025027,경상북도 구미시 선산읍 북산리,CR005,사과,32,13,45,164,50
4719025028,경상북도 구미시 선산읍 습례리,CR005,사과,59,54,52,124,23
4719025029,경상북도 구미시 선산읍 교리,CR005,사과,77,30,64,384,4
