alfisols_Area,andisols_Area,bjd_Nm,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,stdg_Cd,ultisols_Area
44,0,경상북도 포항시남구 오천읍 용덕리,70,7,0,77,0,4711125630,0
41,0,전라남도 영광군 법성면 용덕리,0,4,0,155,0,4687037030,88
78,0,전라남도 영광군 법성면 삼당리,0,14,0,111,0,4687037031,113
68,0,전라남도 영광군 낙월면,0,59,0,968,0,4687038000,66
30,0,충청북도 음성군 원남면 주봉리,2,13,0,440,0,4377032029,0
15,0,충청북도 음성군 원남면 문암리,0,4,0,566,0,4377032030,0
4,0,충청북도 음성군 원남면 조촌리,152,87,0,1020,0,4377032031,0
23,0,충청북도 음성군 원남면 덕정리,1,0,0,568,0,4377032033,0
12,0,충청북도 음성군 맹동면 쌍정리,21,3,0,334,0,4377033021,0
5,0,충청북도 음성군 맹동면 인곡리,0,1,0,358,0,4377033022,0
32,0,충청북도 음성군 맹동면 봉현리,0,8,0,227,0,4377033024,0
0,0,충청북도 음성군 맹동면 신돈리,0,1,0,118,0,4377033026,0
27,0,경기도 광주시 도척면 방도리,4,0,0,517,0,4161033023,5
5,0,충청남도 아산시 신창면 창암리,5,3,0,337,0,4420041023,21
22,0,충청남도 아산시 신창면 황산리,6,0,0,216,0,4420041024,9
2,0,충청남도 아산시 신창면 행목리,0,4,0,302,0,4420041025,15
117,0,충청남도 아산시 신창면 신달리,0,22,0,62,0,4420041027,51
69,0,충청남도 아산시 신창면 남성리,0,3,0,245,0,4420041028,156
77,0,충청남도 아산시 신창면 가덕리,0,36,0,180,0,4420041030,60
24,0,충청남도 아산시 신창면 신곡리,0,25,0,163,0,4420041031,34
7712,0,충청남도 서산시,6489,3988,0,43921,0,4421000000,8693
35,0,충청남도 서산시 읍내동,0,7,0,155,0,4421010100,35
84,0,충청남도 서산시 동문동,0,0,0,163,0,4421010200,62
0,0,경기도 구리시 토평동,317,220,0,53,0,4131010700,0
0,0,경기도 화성시 봉담읍 마하리,0,3,0,117,0,4159025331,0
13,0,전라남도 신안군 비금면 죽림리,141,43,0,292,0,4691034030,39
15,0,부산광역시 강서구 녹산동,14,71,0,344,55,2644011100,29
35,0,부산광역시 강서구 구랑동,22,8,0,390,0,2644011300,35
60,0,부산광역시 강서구 지사동,8,22,0,1054,0,2644011400,85
19,0,부산광역시 강서구 범방동,6,46,0,352,0,2644011600,9
0,0,부산광역시 강서구 신호동,0,366,0,0,42,2644011700,0
0,0,경기도 화성시 팔탄면 지월리,11,6,0,189,0,4159036029,0
22,0,경기도 화성시 서신면 송교리,0,26,0,280,0,4159035025,2
39,0,경기도 화성시 송산면 용포리,0,24,0,203,0,4159034024,20
47,0,경기도 화성시 송산면 고정리,1,148,0,362,0,4159034025,114
3,0,경기도 화성시 송산면 천등리,0,3,0,220,0,4159034027,2
29,0,경기도 화성시 송산면 신천리,0,10,0,183,0,4159034028,5
20,0,경기도 화성시 송산면 마산리,0,8,0,312,0,4159034030,23
4,0,경기도 화성시 송산면 고포리,1,16,0,272,0,4159034031,66
2,0,경기도 화성시 송산면 중송리,0,5,0,265,0,4159034033,15
6,0,경기도 화성시 송산면 육일리,0,0,0,206,0,4159034034,0
262,0,경기도 화성시 서신면,84,251,0,3668,0,4159035000,67
21,0,경기도 화성시 서신면 전곡리,16,60,0,573,0,4159035021,0
0,0,경상남도 고성군 고성읍 성내리,0,0,0,15,0,4882025021,0
3,0,경상남도 고성군 고성읍 서외리,16,0,0,29,0,4882025022,0
45,0,경상남도 고성군 고성읍 동외리,0,0,0,58,0,4882025024,27
123,0,경상남도 고성군 고성읍 송학리,3,7,0,55,0,4882025025,0
15,0,전라남도 순천시 낙안면 옥산리,1,3,0,97,0,4615038028,19
2,0,전라남도 구례군 마산면 광평리,23,13,0,243,0,4673034022,16
35,0,전라남도 강진군 군동면 파산리,3,14,0,508,0,4681031021,32
50,0,전라남도 강진군 군동면 라천리,0,4,0,308,0,4681031023,5
86,0,전라남도 강진군 군동면 화산리,6,15,0,806,0,4681031025,37
9,0,전라남도 강진군 군동면 용소리,3,34,0,594,0,4681031026,8
30,0,전라남도 강진군 군동면 장산리,8,17,0,625,0,4681031028,0
42,0,전라남도 강진군 군동면 덕천리,11,61,0,442,0,4681031029,0
8,0,전라남도 강진군 군동면 쌍덕리,0,5,0,173,0,4681031031,8
33,0,전라남도 강진군 군동면 금사리,19,22,0,523,0,4681031032,0
441,0,전라남도 강진군 칠량면,466,137,0,4841,0,4681032000,122
51,0,전라남도 강진군 칠량면 동백리,0,2,0,522,0,4681032022,1
0,0,경상북도 상주시 성하동,5,0,0,0,0,4725010100,0
106,0,경상북도 상주시 성동동,28,2,0,33,0,4725010200,0
4,0,경상북도 상주시 복룡동,83,32,0,36,0,4725010400,0
0,0,경상북도 상주시 냉림동,25,10,0,46,0,4725010500,0
4,0,경상북도 상주시 남성동,39,0,0,19,0,4725010700,0
