bjd_Nm,posifertk_Fachs1_Area,posifertk_Fachs2_Area,posifertk_Fachs3_Area,posifertk_Fachs4_Area,posifertk_Fachs5_Area,posifertk_Fachs6_Area,posifertk_Fruit1_Area,posifertk_Fruit2_Area,posifertk_Fruit3_Area,posifertk_Fruit4_Area,posifertk_Fruit5_Area,posifertk_Fruit6_Area,posifertk_Pfld1_Area,posifertk_Pfld2_Area,posifertk_Pfld3_Area,posifertk_Pfld4_Area,posifertk_Pfld5_Area,posifertk_Pfld6_Area,posifertk_Rfld1_Area,posifertk_Rfld2_Area,posifertk_Rfld3_Area,posifertk_Rfld4_Area,posifertk_Rfld5_Area,posifertk_Rfld6_Area,stdg_Cd
경상남도 밀양시 초동면 신호리,0,1,0,1,0,18,0,0,0,0,2,2,0,1,3,1,1,3,2,8,3,5,1,3,4827037029
경상북도 영천시 고경면 상덕리,-,-,-,-,-,-,0,0,0,0,0,23,0,0,2,0,0,14,0,0,1,0,0,0,4723038039
경상북도 영천시 고경면 가수리,-,-,-,-,-,-,0,0,0,0,0,6,0,0,1,0,0,19,0,0,0,0,0,1,4723038040
경상북도 영천시 고경면 삼산리,-,-,-,-,-,-,0,0,0,0,1,4,0,0,0,0,1,11,-,-,-,-,-,-,4723038042
경상북도 영천시 고경면 오룡리,-,-,-,-,-,-,0,0,18,0,0,0,0,47,19,3,1,14,-,-,-,-,-,-,4723038044
충청남도 부여군 규암면 금암리,2,0,1,1,1,5,-,-,-,-,-,-,1,2,1,0,1,2,4,3,5,5,4,3,4476031028
충청남도 부여군 규암면 신리,0,1,2,0,0,4,0,1,2,1,0,0,0,0,0,0,0,1,2,2,5,5,2,2,4476031029
충청남도 부여군 규암면 진변리,0,0,1,0,0,5,-,-,-,-,-,-,1,0,2,1,0,2,0,4,15,23,3,4,4476031031
충청남도 부여군 규암면 규암리,0,0,0,0,0,2,-,-,-,-,-,-,0,0,1,1,1,3,0,1,1,3,2,1,4476031032
충청남도 부여군 부여읍 현북리,40,1,0,3,3,17,-,-,-,-,-,-,0,1,1,0,0,1,44,9,10,10,4,5,4476025042
충청남도 부여군 규암면,1008,25,44,39,42,326,51,107,38,12,23,20,49,29,21,10,25,91,33,176,399,317,209,282,4476031000
충청남도 부여군 규암면 나복리,3,3,3,2,2,35,7,11,8,0,0,3,0,3,2,2,2,8,1,8,14,20,4,5,4476031022
충청남도 부여군 규암면 모리,0,5,3,2,5,13,1,1,1,1,4,0,0,0,0,0,0,2,1,2,6,5,2,2,4476031023
충청남도 부여군 규암면 호암리,0,0,0,0,0,3,4,5,0,0,0,0,7,7,0,0,7,1,2,2,13,4,3,1,4476031025
충청남도 부여군 부여읍 왕포리,2,2,3,6,5,52,-,-,-,-,-,-,0,0,0,0,0,1,1,4,4,6,3,3,4476025041
경기도 광주시 남종면 이석리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,1,1,1,0,0,0,0,4161035023
경기도 광주시 남종면 귀여리,1,1,2,2,2,41,0,0,0,0,0,2,2,6,5,4,2,12,7,16,13,12,3,4,4161035025
경기도 광주시 남종면 검천리,4,2,1,0,0,0,0,1,1,2,2,17,3,6,4,5,5,17,11,14,6,6,2,3,4161035026
경기도 화성시 서신면 광평리,-,-,-,-,-,-,1,6,6,4,4,42,0,1,2,3,1,16,0,3,3,2,0,0,4159035023
경기도 화성시 서신면 장외리,-,-,-,-,-,-,0,1,1,1,1,14,0,0,0,1,1,12,0,0,0,1,0,0,4159035024
경기도 화성시 송산면 삼존리,-,-,-,-,-,-,2,5,4,8,8,20,0,1,1,1,1,8,0,1,5,8,10,12,4159034023
경기도 화성시 비봉면 쌍학리,0,0,0,0,1,5,-,-,-,-,-,-,0,1,2,1,1,14,1,2,3,1,0,1,4159032026
경기도 화성시 비봉면 청요리,0,0,0,0,0,1,1,3,1,1,2,11,0,0,0,0,0,18,0,5,8,4,3,2,4159032027
경기도 화성시 비봉면 자안리,0,0,0,0,1,3,-,-,-,-,-,-,0,0,0,1,1,6,2,1,2,3,1,1,4159032028
경기도 화성시 마도면 석교리,-,-,-,-,-,-,0,2,1,0,1,3,2,3,2,1,0,6,0,2,3,5,2,1,4159033021
경기도 화성시 마도면 송정리,-,-,-,-,-,-,0,0,2,0,1,4,0,0,1,1,1,7,0,4,2,2,0,7,4159033023
경기도 화성시 마도면 쌍송리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,9,0,1,1,1,0,13,4159033024
경기도 화성시 마도면 슬항리,-,-,-,-,-,-,0,1,0,0,0,1,1,2,2,1,1,13,0,3,7,8,7,23,4159033026
경기도 화성시 마도면 해문리,-,-,-,-,-,-,0,0,1,0,0,6,0,0,0,0,0,7,0,2,1,1,0,0,4159033027
경기도 화성시 마도면 금당리,-,-,-,-,-,-,0,0,1,1,1,17,0,0,0,0,0,4,0,5,10,6,2,3,4159033029
전라남도 구례군 마산면 마산리,0,0,0,0,0,7,0,2,1,8,10,96,0,2,0,11,13,13,1,7,10,14,23,53,4673034021
전라남도 강진군 군동면,0,2,3,3,2,11,0,2,2,3,3,21,4,4,19,44,50,299,105,193,324,276,203,224,4681031000
전라남도 영암군 서호면,-,-,-,-,-,-,0,1,0,1,0,10,0,1,2,7,6,45,2,46,139,147,178,629,4683037000
전라남도 영암군 서호면 화송리,-,-,-,-,-,-,0,0,0,1,0,1,0,0,0,1,0,3,0,2,10,9,7,5,4683037022
전라남도 영암군 서호면 청용리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,8,0,1,4,6,3,2,4683037023
