aqualfs_Area,aquents_Area,aquepts_Area,aquolls_Area,aquults_Area,bjd_Nm,etc_Area,fluvents_Area,hemists_Area,humults_Area,orthents_Area,psamments_Area,saprists_Area,stdg_Cd,udalfs_Area,udands_Area,udepts_Area,udolls_Area,udults_Area
0,0,0,0,0,전라남도 영광군 낙월면 임병리,8,0,0,0,0,0,0,4687038023,0,0,29,0,0
0,0,1,0,0,전라남도 영광군 낙월면 월촌리,3,0,0,0,0,0,0,4687038025,11,0,120,0,39
0,0,1,0,0,전라남도 영광군 낙월면 신기리,5,0,0,0,0,0,0,4687038026,12,0,161,0,27
0,0,0,0,0,전라남도 영광군 낙월면 석만리,2,0,0,0,0,0,0,4687038028,2,0,49,0,0
0,0,14,0,0,경기도 광주시 쌍령동,13,0,0,0,10,0,0,4161010200,28,0,269,0,0
0,0,25,0,0,경기도 광주시 송정동,12,22,0,0,18,0,0,4161010300,25,0,405,0,0
0,0,0,0,0,경기도 광주시 회덕동,3,9,0,0,5,0,0,4161010400,17,0,316,0,0
0,0,8,0,0,경기도 광주시 목현동,1,1,0,0,66,0,0,4161010600,10,0,802,0,0
0,0,21,0,0,경기도 광주시 삼동,1,0,0,0,16,0,0,4161010700,23,0,364,0,0
0,0,16,0,0,경기도 광주시 직동,0,0,0,0,31,0,0,4161010900,7,0,543,0,0
0,0,36,0,0,경기도 광주시 태전동,16,44,0,0,37,0,0,4161011000,18,0,336,0,0
0,0,86,0,0,경기도 광주시 장지동,20,3,0,0,39,0,0,4161011100,3,0,206,0,0
0,0,18,0,0,경기도 광주시 목동,3,12,0,0,55,0,0,4161011300,13,0,498,0,0
0,0,52,0,0,경상북도 영주시 안정면 옹암리,0,0,0,0,0,0,0,4721035030,0,0,136,0,10
27,0,21,0,0,경상북도 영천시 녹전동,18,25,0,0,4,0,0,4723012100,59,0,107,0,0
18,0,39,0,0,경상북도 영천시 도림동,15,5,0,0,0,0,0,4723012200,4,0,510,0,0
0,0,73,0,0,경상북도 영주시 안정면 동촌리,7,0,0,0,8,4,0,4721035034,6,0,205,0,10
0,19,75,0,0,경상북도 영주시 장수면 소룡리,7,0,0,0,1,2,0,4721034026,0,0,312,0,0
0,16,93,0,0,경상북도 영주시 장수면 호문리,8,0,0,0,0,0,0,4721034027,0,0,363,0,0
0,0,37,0,0,경상북도 영주시 장수면 파지리,0,0,0,0,5,0,0,4721034028,0,0,160,0,0
0,0,64,0,0,경상북도 영주시 안정면 신전리,8,0,0,0,0,0,0,4721035021,9,0,53,0,4
0,0,40,0,0,경상북도 영주시 안정면 봉암리,1,0,0,0,17,0,0,4721035023,10,0,198,0,6
0,0,110,0,0,경상북도 영주시 안정면 용산리,0,0,0,0,7,1,0,4721035024,48,0,405,0,43
0,0,73,0,0,경상북도 영주시 안정면 묵리,4,0,0,0,21,10,0,4721035026,0,0,234,0,0
0,0,126,0,0,경상북도 영주시 안정면 내줄리,20,0,0,0,8,3,0,4721035027,7,0,174,0,7
20,0,92,0,0,전라남도 보성군 겸백면 남양리,21,0,0,0,8,0,0,4678033027,25,0,303,0,5
6,0,35,0,0,전라남도 보성군 겸백면 사곡리,3,0,0,0,0,0,0,4678033028,15,0,298,0,1
0,0,0,0,0,경상북도 청송군 청송읍 월막리,23,32,0,0,20,0,0,4775025021,36,0,250,0,0
0,0,640,0,0,경기도 성남시수정구,109,226,0,0,272,0,0,4113100000,186,0,3105,0,0
0,0,45,0,0,경기도 성남시수정구 신흥동,2,0,0,0,1,0,0,4113110100,0,0,130,0,0
0,0,7,0,0,경기도 성남시수정구 수진동,3,3,0,0,17,0,0,4113110300,0,0,96,0,0
