bjd_Nm,stdg_Cd,vldsia_Rfld1_Area,vldsia_Rfld2_Area,vldsia_Rfld3_Area,vldsia_Rfld4_Area,vldsia_Rfld5_Area,vldsia_Rfld6_Area
충청북도 영동군 황간면 회포리,4374032030,2,7,1,2,0,0
충청북도 옥천군 군서면 사양리,4373037026,1,2,1,1,1,1
충청북도 옥천군 군서면 상중리,4373037027,1,1,2,2,2,3
충청북도 옥천군 군서면 하동리,4373037028,1,1,1,3,0,3
충청북도 옥천군 군서면 월전리,4373037030,1,3,2,2,0,1
충청북도 옥천군 군북면,4373038000,4,15,17,13,9,21
충청북도 옥천군 군북면 자모리,4373038022,0,1,2,1,1,3
충청북도 영동군 황간면 마산리,4374032023,1,9,3,2,0,0
충청북도 영동군 황간면 난곡리,4374032025,21,16,2,1,0,1
충청북도 영동군 황간면 우매리,4374032026,7,27,5,2,1,1
충청남도 서천군 마산면 관포리,4477035027,10,34,16,4,3,3
충청남도 서천군 마산면 삼월리,4477035029,2,2,4,1,1,1
충청남도 서천군 마산면 군간리,4477035030,9,2,18,3,0,1
경상북도 성주군,4784000000,283,474,511,400,413,410
경상북도 고령군 쌍림면 귀원리,4783037037,9,16,25,2,1,0
경상북도 고령군 쌍림면 송림리,4783037038,34,164,18,3,2,6
경상북도 고령군 쌍림면 백산리,4783037040,21,54,10,2,1,3
경상북도 고령군 쌍림면 하거리,4783037041,18,102,23,10,0,1
경상북도 고령군 쌍림면 산주리,4783037043,14,50,5,2,0,0
경상북도 고령군 쌍림면 매촌리,4783037044,32,33,50,4,1,1
경상북도 고령군 쌍림면 신곡리,4783037046,53,122,12,2,0,0
경상북도 고령군 쌍림면 안화리,4783037048,6,13,0,0,0,0
경상북도 고령군 쌍림면 안림리,4783037049,24,72,21,4,1,0
인천광역시 강화군 교동면 서한리,2871040031,7,24,13,7,4,4
인천광역시 강화군 교동면 무학리,2871040032,12,51,82,47,10,6
인천광역시 강화군 삼산면,2871041000,416,452,476,138,49,89
인천광역시 강화군 삼산면 석모리,2871041021,31,64,61,21,6,5
인천광역시 강화군 삼산면 상리,2871041022,28,77,39,16,6,11
인천광역시 강화군 삼산면 석포리,2871041024,23,42,19,11,4,10
인천광역시 강화군 삼산면 서검리,2871041026,7,108,86,21,2,9
충청북도 충주시 살미면 설운리,4313031030,0,2,0,0,0,0
충청북도 충주시 살미면 향산리,4313031031,0,1,0,0,0,1
충청북도 충주시 살미면 토계리,4313031033,1,5,3,0,0,0
충청북도 음성군 생극면 생리,4377036032,1,13,2,1,1,1
충청북도 음성군 감곡면 주천리,4377037022,5,10,7,4,0,1
충청북도 음성군 감곡면 상평리,4377037024,5,10,3,1,0,1
충청북도 음성군 감곡면 월정리,4377037025,2,3,1,0,0,0
충청북도 음성군 감곡면 사곡리,4377037027,1,2,2,0,0,0
충청북도 음성군 감곡면 문촌리,4377037028,2,3,2,3,0,0
충청남도 논산시 노성면 장구리,4423033029,6,7,11,9,6,13
충청남도 논산시 노성면 호암리,4423033031,6,14,13,10,4,15
충청남도 논산시 노성면 구암리,4423033033,5,3,0,1,0,1
충청남도 논산시 상월면,4423034000,95,165,134,135,61,167
충청남도 논산시 상월면 신충리,4423034021,4,1,1,1,1,2
충청남도 논산시 상월면 월오리,4423034023,6,8,4,3,2,4
충청남도 서산시 지곡면 환성리,4421034028,5,22,44,29,26,34
충청남도 서산시 지곡면 무장리,4421034029,10,45,83,68,29,30
충청남도 서산시 성연면 일람리,4421036021,3,23,23,15,6,13
충청남도 서산시 성연면 오사리,4421036023,4,29,14,10,4,3
충청남도 서산시 성연면 왕정리,4421036024,3,5,6,2,1,1
충청남도 서산시 성연면 갈현리,4421036026,0,20,22,18,13,17
충청남도 서산시 성연면 예덕리,4421036028,6,38,39,27,14,20
충청남도 서산시 성연면 해성리,4421036029,8,11,21,12,11,11
충청남도 서산시 음암면 도당리,4421037021,10,90,97,58,30,36
충청남도 서산시 지곡면 연화리,4421034024,2,36,55,32,15,20
충청남도 논산시 성동면 삼산리,4423031021,8,40,29,12,8,5
충청남도 예산군 광시면 대리,4481033040,9,66,34,12,8,8
충청남도 예산군 덕산면 대동리,4481036036,0,6,3,4,5,4
충청남도 예산군 봉산면,4481037000,20,99,162,101,48,104
충청남도 예산군 봉산면 구암리,4481037022,0,4,7,4,1,12
경기도 양평군 개군면 불곡리,4183041026,2,4,2,2,1,3
경기도 양평군 개군면 내리,4183041029,1,2,1,2,1,5
경기도 양평군 개군면 향리,4183041030,0,1,0,0,0,2
경기도 양평군 개군면 계전리,4183041032,3,16,20,21,14,51
경기도 양평군 개군면 상자포리,4183041033,1,2,1,2,2,5
충청남도 논산시 부적면 왕덕리,4423035034,2,23,9,13,2,5
충청남도 논산시 양촌면 임화리,4423039023,5,7,7,2,1,7
충청남도 논산시 양촌면 신기리,4423039025,3,2,0,0,0,0
충청남도 논산시 양촌면 오산리,4423039026,2,2,3,0,0,0
충청남도 논산시 양촌면 남산리,4423039028,3,2,3,0,0,1
충청남도 논산시 강경읍 염천리,4423025027,-,-,-,-,-,-
충청남도 논산시 강경읍 태평리,4423025028,-,-,-,-,-,-
충청남도 논산시 강경읍 황산리,4423025030,-,-,-,-,-,-
충청남도 예산군 고덕면 구만리,4481038029,21,61,86,80,50,182
충청남도 예산군 고덕면 용리,4481038030,18,33,54,37,24,61
충청북도 충주시 금가면 도촌리,4313039030,6,12,9,3,3,1
충청북도 충주시 동량면,4313040000,9,27,18,12,9,9
충청북도 충주시 동량면 화암리,4313040022,-,-,-,-,-,-
충청북도 충주시 동량면 하천리,4313040024,-,-,-,-,-,-
충청북도 충주시 동량면 손동리,4313040025,-,-,-,-,-,-
충청북도 제천시 동현동,4315010300,0,0,0,2,0,1
충청북도 제천시 교동,4315010500,-,-,-,-,-,-
충청북도 제천시 하소동,4315011100,-,-,-,-,-,-
충청남도 공주시 탄천면 정치리,4415032029,2,8,7,5,2,241
충청남도 공주시 의당면,4415036000,75,374,425,114,78,248
충청남도 공주시 반포면 온천리,4415034032,1,8,6,2,1,8
충청남도 공주시 반포면 학봉리,4415034033,1,2,2,0,0,1
전라남도 장흥군 장흥읍 성불리,4680025029,3,1,2,1,0,1
전라남도 장흥군 장흥읍,4680025000,213,144,100,75,22,46
전라남도 장흥군 장흥읍 동동리,4680025021,-,-,-,-,-,-
전라남도 진도군 지산면 거제리,4690035028,36,46,87,53,31,61
전라남도 진도군 지산면 보전리,4690035029,5,28,82,89,56,155
전라남도 진도군 지산면 와우리,4690035030,2,30,32,18,13,24
전라남도 진도군 지산면 가학리,4690035032,1,3,5,8,13,6
전라남도 진도군 지산면 심동리,4690035033,2,31,86,105,211,92
전라남도 진도군 지산면 송호리,4690035035,3,24,47,54,33,40
전라남도 진도군 조도면,4690036000,3,15,29,41,9,13
경기도 가평군 가평읍 금대리,4182025034,1,8,1,0,1,1
경기도 가평군 설악면 신천리,4182031021,23,20,5,2,2,6
경기도 가평군 설악면 선촌리,4182031022,16,18,6,3,4,8
