bjd_Nm,etc_Area,field_Area,forest_Area,fruit_Area,grass_Area,paddy_Area,stdg_Cd
경상남도 사천시 축동면 가산리,34,47,13,101,127,64,4824034026
경상남도 사천시 축동면 구호리,13,20,0,46,77,35,4824034027
경상남도 사천시 곤양면,179,487,1120,815,2380,1134,4824035000
경상남도 사천시 곤양면 남문외리,4,2,14,0,0,29,4824035022
경상남도 사천시 곤양면 서정리,15,31,45,39,146,100,4824035023
경상남도 사천시 곤양면 대진리,20,45,75,147,196,152,4824035025
경상남도 사천시 곤명면 송림리,7,34,85,27,112,58,4824036031
경상남도 사천시 곤양면 흥사리,9,61,158,72,321,101,4824035028
경상북도 영양군 청기면 정족리,35,96,720,143,277,55,4776032034
경상북도 영천시 화산면 부계리,12,27,0,7,101,23,4723033034
경상북도 영천시 쌍계동,26,32,66,11,14,41,4723012500
경상북도 영천시 도남동,18,65,0,0,3,87,4723012600
경상북도 영천시 매산동,33,148,61,22,84,116,4723012700
경상북도 영천시 언하동,17,46,0,18,33,105,4723012800
경상북도 영천시 서산동,29,77,170,14,247,115,4723013000
경상북도 영천시 금호읍,467,1001,281,296,1498,1621,4723025000
경상북도 영천시 금호읍 덕성리,42,38,0,0,0,34,4723025022
경상북도 영천시 금호읍 대미리,15,59,30,20,144,86,4723025024
경상북도 영천시 금호읍 석섬리,0,16,0,6,16,75,4723025025
경상북도 영천시 금호읍 냉천리,57,89,0,0,0,68,4723025027
경상남도 김해시 주촌면 내삼리,14,38,187,85,229,143,4825032025
경상남도 김해시 한림면 신천리,7,30,86,128,125,99,4825034024
경상남도 김해시 주촌면 망덕리,8,19,8,6,27,87,4825032027
경상남도 김해시 주촌면 농소리,15,7,0,3,19,111,4825032028
경상남도 김해시 진례면 청천리,8,71,45,21,42,142,4825033021
경상남도 김해시 진례면 송정리,13,48,96,59,89,203,4825033023
경상남도 김해시 진영읍 좌곤리,17,41,28,19,18,175,4825025025
경상남도 김해시 진영읍 진영리,43,78,30,31,100,342,4825025026
경상남도 김해시 진영읍 여래리,2,49,32,45,104,56,4825025027
경상남도 김해시 진영읍 신용리,2,66,27,22,56,67,4825025029
경상남도 김해시 진영읍 내룡리,5,24,62,68,80,52,4825025031
경상남도 김해시 진영읍 죽곡리,13,21,23,23,78,70,4825025032
경상북도 영주시 안정면 안심리,11,34,0,36,26,70,4721035029
경상북도 영천시 대전동,18,77,49,5,27,50,4723012000
경상북도 영주시 순흥면 배점리,26,18,1207,54,190,39,4721037027
경상북도 영주시 순흥면 덕현리,3,2,761,28,236,16,4721037028
경상북도 영천시 오수동,27,29,41,0,12,47,4723012400
경상북도 영천시 교촌동,0,22,0,0,34,0,4723010700
경상북도 영천시 과전동,0,4,0,0,0,0,4723010800
경상북도 영천시 화룡동,10,101,0,11,59,61,4723011000
경상북도 영천시 도동,46,89,0,6,28,92,4723011100
경상북도 영천시 완산동,48,115,55,8,120,162,4723011300
경상북도 영천시 범어동,12,87,8,77,219,61,4723011400
경상북도 영천시 봉동,6,76,0,3,56,90,4723011600
경상남도 합천군 대양면 양산리,6,39,17,55,114,59,4889041028
경상북도 성주군 용암면 대봉리,12,50,250,40,118,83,4784032056
경상북도 성주군 용암면 상신리,9,21,448,25,124,38,4784032057
경상북도 성주군 수륜면,449,428,3501,706,2472,1400,4784033000
전라남도 보성군 겸백면 도안리,45,103,7,30,47,58,4678033025
경상북도 상주시 남장동,20,66,424,70,356,73,4725013500
경상북도 상주시 남적동,7,38,59,20,46,111,4725013600
경상북도 상주시 함창읍,310,728,637,318,700,1660,4725025000
경상북도 상주시 함창읍 오동리,0,105,0,5,2,156,4725025022
경상북도 상주시 함창읍 증촌리,7,29,0,0,0,81,4725025024
경상남도 통영시 용남면 어의리,2,0,0,20,21,0,4822031028
경상북도 구미시 해평면 금산리,9,104,25,7,333,139,4719034026
경상북도 구미시 옥성면 대원리,38,65,266,35,119,61,4719032029
경상북도 구미시 도개면,401,592,2022,392,1392,1287,4719033000
경상북도 구미시 도개면 가산리,107,53,3,35,72,222,4719033021
경상북도 구미시 도개면 월림리,68,60,10,43,84,181,4719033023
경상남도 양산시 원동면,536,538,9280,558,3157,809,4833032000
