bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
경상북도 포항시남구 오천읍 항사리,76,3,12,54,134,1635,4711125623
경상북도 포항시남구 장기면 대진리,7,0,1,18,37,84,4711133035
경상북도 포항시남구 장기면 학계리,4,0,16,27,42,92,4711133037
경상북도 포항시남구 장기면 학곡리,6,1,22,53,48,200,4711133038
경상북도 포항시남구 장기면 창지리,3,0,8,54,62,151,4711133040
전라남도 영광군 낙월면 하낙월리,0,0,0,5,3,48,4687038022
전라남도 영광군 낙월면 임병리,8,0,0,2,4,23,4687038023
전라남도 영광군 낙월면 월촌리,3,0,0,61,23,87,4687038025
전라남도 영광군 낙월면 신기리,5,0,0,50,54,97,4687038026
전라남도 영광군 낙월면 석만리,2,0,0,3,4,44,4687038028
경기도 광주시 쌍령동,13,2,23,49,20,226,4161010200
경기도 광주시 송정동,12,25,64,49,34,323,4161010300
경기도 광주시 회덕동,3,9,27,40,9,263,4161010400
경기도 광주시 목현동,1,1,11,87,41,747,4161010600
경기도 광주시 삼동,1,0,16,72,24,311,4161010700
경기도 광주시 직동,0,0,11,64,29,493,4161010900
경기도 광주시 태전동,16,50,42,66,45,268,4161011000
경기도 광주시 장지동,20,22,51,96,50,118,4161011100
경기도 광주시 목동,3,12,32,79,28,445,4161011300
경상북도 영주시 안정면 옹암리,0,0,3,75,80,42,4721035030
경상북도 영천시 녹전동,18,25,86,53,23,56,4723012100
경상북도 영천시 도림동,15,5,36,154,21,361,4723012200
경상북도 영주시 안정면 동촌리,7,0,16,57,84,150,4721035034
경상북도 영주시 장수면 소룡리,7,0,14,78,102,215,4721034026
경상북도 영주시 장수면 호문리,8,0,24,102,75,272,4721034027
경상북도 영주시 장수면 파지리,0,0,3,33,35,132,4721034028
경상북도 영주시 안정면 신전리,8,0,13,62,31,23,4721035021
경상북도 영주시 안정면 봉암리,1,0,3,39,93,136,4721035023
경상북도 영주시 안정면 용산리,0,0,11,117,115,371,4721035024
경상북도 영주시 안정면 묵리,4,0,14,36,91,198,4721035026
경상북도 영주시 안정면 내줄리,20,0,14,96,54,162,4721035027
전라남도 보성군 겸백면 남양리,21,8,44,184,61,156,4678033027
전라남도 보성군 겸백면 사곡리,3,0,11,74,76,193,4678033028
경상북도 청송군 청송읍 월막리,23,32,6,16,47,236,4775025021
경기도 성남시수정구,109,285,469,889,762,2026,4113100000
경기도 성남시수정구 신흥동,2,0,0,57,103,17,4113110100
경기도 성남시수정구 수진동,3,20,29,19,55,0,4113110300
경기도 성남시수정구 단대동,0,0,1,37,34,8,4113110400
경기도 성남시수정구 양지동,0,0,0,9,26,91,4113110600
경기도 성남시수정구 복정동,11,7,73,114,43,131,4113110700
경기도 성남시수정구 신촌동,5,9,4,49,2,11,4113110900
경기도 성남시수정구 오야동,10,26,8,44,10,20,4113111000
경상북도 포항시남구 동해면 금광리,3,0,7,89,108,200,4711132023
경상북도 포항시남구 동해면 석리,1,0,2,38,33,144,4711132025
경상북도 포항시남구 동해면 임곡리,0,0,5,19,102,67,4711132026
경상북도 포항시남구 동해면 마산리,1,0,1,22,33,171,4711132028
경상북도 포항시남구 동해면 중흥리,1,0,12,15,27,356,4711132030
경상북도 포항시남구 동해면 발산리,8,0,10,35,48,569,4711132031
경상북도 포항시남구 오천읍 진전리,43,0,7,55,22,1236,4711125624
경상북도 포항시남구 오천읍 갈평리,27,7,31,71,110,735,4711125625
경상북도 포항시남구 오천읍 용산리,14,6,31,24,51,182,4711125627
경상북도 포항시남구 오천읍 광명리,2,0,10,88,88,136,4711125628
경상북도 포항시남구 오천읍 용덕리,7,65,115,5,5,0,4711125630
전라남도 영광군 법성면 용덕리,4,0,22,78,107,76,4687037030
전라남도 영광군 법성면 삼당리,14,0,3,185,66,47,4687037031
전라남도 영광군 낙월면,59,0,2,210,180,710,4687038000
충청북도 음성군 원남면 주봉리,13,2,28,141,88,214,4377032029
충청북도 음성군 원남면 문암리,4,0,74,201,102,204,4377032030
충청북도 음성군 원남면 조촌리,87,8,97,109,21,941,4377032031
