bjd_Nm,stdg_Cd,vldpha_Fachs1_Area,vldpha_Fachs2_Area,vldpha_Fachs3_Area,vldpha_Fachs4_Area,vldpha_Fachs5_Area,vldpha_Fachs6_Area,vldpha_Fruit1_Area,vldpha_Fruit2_Area,vldpha_Fruit3_Area,vldpha_Fruit4_Area,vldpha_Fruit5_Area,vldpha_Fruit6_Area,vldpha_Pfld1_Area,vldpha_Pfld2_Area,vldpha_Pfld3_Area,vldpha_Pfld4_Area,vldpha_Pfld5_Area,vldpha_Pfld6_Area,vldpha_Rfld1_Area,vldpha_Rfld2_Area,vldpha_Rfld3_Area,vldpha_Rfld4_Area,vldpha_Rfld5_Area,vldpha_Rfld6_Area
제주특별자치도 제주시 우도면 조일리,5011033024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주특별자치도 제주시 우도면 오봉리,5011033025,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,-,-,-,-,-,-
제주특별자치도 서귀포시,5013000000,292,339,268,236,209,1724,1475,848,704,532,445,3321,62987,11118,4668,3267,3118,15726,5,3,4,3,1,1
제주특별자치도 서귀포시 서귀동,5013010100,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-,-,-,-,-,-
제주특별자치도 서귀포시 법환동,5013010200,0,0,1,1,1,37,0,1,1,0,1,14,11,16,14,30,28,114,-,-,-,-,-,-
충청남도 당진시 정미면 도산리,4427034024,0,0,0,0,0,1,-,-,-,-,-,-,0,1,1,0,0,2,41,18,4,2,0,0
충청남도 당진시 정미면 매방리,4427034025,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,5,65,15,4,0,0,0
충청남도 당진시 정미면 우산리,4427034026,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,31,9,0,0,0,0
충청남도 당진시 정미면 하성리,4427034027,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,3,21,18,1,1,0,1
충청남도 당진시 정미면 산성리,4427034028,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7,55,15,2,1,0,1
충청남도 당진시 정미면 덕삼리,4427034029,-,-,-,-,-,-,0,0,0,1,1,2,0,0,0,0,0,1,39,26,6,1,3,0
충청남도 당진시 정미면 봉성리,4427034030,-,-,-,-,-,-,0,1,1,0,0,3,0,0,0,0,0,3,56,17,2,1,0,0
충청남도 당진시 정미면 수당리,4427034031,0,0,0,0,0,10,1,0,0,0,0,0,0,2,0,0,5,3,72,34,18,3,0,0
충청남도 당진시 정미면 사관리,4427034032,-,-,-,-,-,-,-,-,-,-,-,-,1,7,7,0,0,2,23,19,2,3,0,0
충청남도 당진시 정미면 대운산리,4427034033,0,0,0,0,0,1,-,-,-,-,-,-,0,1,2,0,0,2,68,77,46,13,3,1
충청남도 당진시 정미면 덕마리,4427034034,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,2,54,23,5,0,0,0
충청남도 당진시 정미면 신시리,4427034035,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3,21,15,7,3,1,0
충청남도 천안시동남구 수신면 해정리,4413135023,3,9,3,0,1,16,0,0,1,0,0,4,1,2,0,1,0,4,17,42,6,6,1,0
