allcolluvm_Layer_Area,alluvm_Layer_Area,bjd_Nm,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area,stdg_Cd
44,133,전라남도 강진군 군동면 라천리,33,29,4,124,4681031023
121,43,전라남도 강진군 군동면 화산리,86,20,15,666,4681031025
108,44,전라남도 강진군 군동면 용소리,31,0,34,432,4681031026
68,70,전라남도 강진군 군동면 장산리,60,6,17,458,4681031028
32,106,전라남도 강진군 군동면 덕천리,55,0,61,303,4681031029
47,58,전라남도 강진군 군동면 쌍덕리,7,0,5,76,4681031031
26,50,전라남도 강진군 군동면 금사리,48,0,22,451,4681031032
537,875,전라남도 강진군 칠량면,404,68,137,3986,4681032000
57,20,전라남도 강진군 칠량면 동백리,66,11,2,420,4681032022
0,5,경상북도 상주시 성하동,0,0,0,0,4725010100
0,68,경상북도 상주시 성동동,0,98,2,0,4725010200
0,119,경상북도 상주시 복룡동,0,4,32,0,4725010400
0,71,경상북도 상주시 냉림동,0,0,10,0,4725010500
5,55,경상북도 상주시 남성동,0,0,0,2,4725010700
0,21,경상북도 상주시 서문동,0,0,0,0,4725010800
79,0,경상북도 영천시 북안면 관리,11,0,8,279,4723039038
14,53,경상북도 상주시 함창읍 척동리,0,0,8,11,4725025030
26,129,경상북도 상주시 함창읍 태봉리,0,9,25,22,4725025031
120,28,경상북도 영천시 북안면 반정리,3,70,27,276,4723039041
60,0,경상북도 영천시 북안면 도유리,19,0,10,241,4723039024
4,0,경상남도 사천시 늑도동,2,0,5,39,4824012000
16,0,경상남도 사천시 신수동,0,0,12,85,4824012100
0,0,경상남도 사천시 백천동,74,0,19,557,4824012200
25,4,경상남도 사천시 대포동,0,31,3,0,4824012500
34,25,경상남도 사천시 송포동,93,113,7,150,4824012600
44,47,경상남도 밀양시 무안면 화봉리,126,0,11,548,4827038024
40,40,경상남도 밀양시 무안면 양효리,48,0,7,251,4827038026
1,12,경상북도 영천시 자양면 용화리,130,0,14,1298,4723036029
46,94,경상북도 영천시 임고면 양항리,5,5,42,131,4723037021
53,113,경상북도 영천시 임고면 덕연리,14,12,32,188,4723037023
109,108,경상북도 영천시 임고면 삼매리,101,8,41,672,4723037024
29,8,경상북도 영천시 임고면 황강리,4,38,5,62,4723037026
141,49,경상북도 영천시 임고면 효리,3,78,23,388,4723037027
201,53,경상북도 영천시 임고면 사리,70,0,71,976,4723037029
131,43,경상북도 영천시 임고면 수성리,223,0,14,1539,4723037030
10,57,경상북도 영천시 자양면 충효리,152,0,86,831,4723036023
40,11,경상북도 영천시 북안면 상리,87,0,9,343,4723039021
39,34,경상북도 영천시 북안면 당리,30,0,7,148,4723039022
111,17,경상북도 영천시 자양면 신방리,49,0,7,523,4723036026
140,15,경상남도 김해시 삼계동,237,0,16,598,4825010700
53,57,경상남도 김해시 내동,90,0,14,39,4825010800
79,35,경상남도 사천시 곤명면 추천리,9,0,4,199,4824036021
81,16,경상남도 사천시 축동면 가산리,4,0,34,251,4824034026
30,20,경상남도 사천시 축동면 구호리,0,0,13,128,4824034027
1172,407,경상남도 사천시 곤양면,88,0,179,4267,4824035000
26,5,경상남도 사천시 곤양면 남문외리,0,0,4,14,4824035022
101,35,경상남도 사천시 곤양면 서정리,2,0,15,224,4824035023
93,96,경상남도 사천시 곤양면 대진리,7,0,20,418,4824035025
51,47,경상남도 사천시 곤명면 송림리,2,0,7,218,4824036031
136,18,경상남도 사천시 곤양면 흥사리,7,0,9,551,4824035028
48,66,경상북도 영양군 청기면 정족리,142,1,35,1033,4776032034
38,2,경상북도 영천시 화산면 부계리,1,9,12,108,4723033034
28,27,경상북도 영천시 쌍계동,8,14,26,87,4723012500
10,37,경상북도 영천시 도남동,0,94,18,15,4723012600
80,120,경상북도 영천시 매산동,3,47,33,182,4723012700
25,62,경상북도 영천시 언하동,2,62,17,51,4723012800
119,32,경상북도 영천시 서산동,14,36,29,421,4723013000
774,624,경상북도 영천시 금호읍,70,1118,467,2111,4723025000
0,39,경상북도 영천시 금호읍 덕성리,0,34,42,0,4723025022
78,0,경상북도 영천시 금호읍 대미리,3,51,15,208,4723025024
